occ1,hisco
Male landholder in Wiltshire,21020
Female druggist wife in Wiltshire,99999
Female formerly a tailor wife in Wiltshire,99999
Male schoolmaster of workhouse in Wiltshire,13110
Male boy landed proprietor farmer acres emp men in Wiltshire,61110
Male brick maker farmer man in Wiltshire,61110
Male master grocer and thatcher in Wiltshire,45120
Male master engineer smith emp men boys in Wiltshire,84110
Male hoop maker wood dealer in Wiltshire,82290
Male retired tailor in Wiltshire,99999
Female dressmaker in Worcestershire,79410
Male sail maker in Worcestershire,79520
Female servant at home in Worcestershire,95110
Male nail manufacture in Worcestershire,83190
Female cabinet maker in Worcestershire,82190
Male butcher inn keeper in Worcestershire,78210
Female clothes dealer in Worcestershire,45190
Female common carrier in Worcestershire,98520
Male stone in Worcestershire,93990
Female works of the farm in Worcestershire,62110
Female late servant domestic in Worcestershire,95110
Female servant housekeeper in Worcestershire,54010
Female land proprietor in Worcestershire,21020
Female pensioners scholar daughter in Worcestershire,99999
Female agricultural labourer widow in Worcestershire,62110
Female boot maker westeyan local maker daughter in Worcestershire,99999
Male assistant officer of army and of volu in Worcestershire,1120
Male traveller wine merchants in Worcestershire,43190
Male farmer employing labourer boys in Worcestershire,61110
Male farmer of acres employing labourer and in Worcestershire,61110
Male carpet weaver servant in Worcestershire,75120
Male retired pocket book maker in Worcestershire,92110
Male book sellers son in Worcestershire,99999
Male apprentice coachmaker body maker in Yorkshire East Riding,84230
Male chelsea out pensioner in Yorkshire East Riding,99999
Male upholsterer in Yorkshire East Riding,82190
Male assists his father in Yorkshire East Riding,99999
Female of parish relief in Yorkshire East Riding,99999
Female to munsh maker wife in Yorkshire East Riding,99999
Male letter carrier and cordwainer in Yorkshire East Riding,38110
Male farmer of emp labourer boys in Yorkshire East Riding,61110
Male coachmaker maker employ men and boys in Yorkshire East Riding,84230
Male master carpenter employing men and boys in Yorkshire East Riding,81210
Male upholster french polisher in Yorkshire East Riding,82190
Male ticket waiter in Yorkshire East Riding,53190
Male apprentice lithographic printer in Yorkshire East Riding,92110
Male meat butcher in Yorkshire East Riding,78210
Male out door officer labourer in Yorkshire East Riding,96210
Male apprentice joiner in Yorkshire North Riding,81220
Male hairdresser in Yorkshire North Riding,57210
Male farmer of acres in Yorkshire North Riding,61110
Male labourer at paper miller in Yorkshire North Riding,79990
Male fisherman son in Yorkshire North Riding,99999
Female cartwright in Yorkshire North Riding,84250
Male master school in Yorkshire North Riding,13110
Male pauper agricultural labourer in Yorkshire North Riding,62110
Male liner and cabinet maker in Yorkshire North Riding,81220
Male butcher and labourer in Yorkshire North Riding,78210
Male grocer tea dealer fancy in Yorkshire North Riding,45120
Male retired innkeeper in Yorkshire North Riding,57110
Male wool in Yorkshire West Riding,75190
Female hand loom worsted weaver in Yorkshire West Riding,75120
Female carrier daughter in Yorkshire West Riding,99999
Female nursing in Yorkshire West Riding,7210
Male mangler son in Yorkshire West Riding,99999
Male apprentice factor in Yorkshire West Riding,99990
Female half timer flax miller in Yorkshire West Riding,75190
Male cordwainer servant in Yorkshire West Riding,81160
Female girl farmer in Yorkshire West Riding,61110
Female minder in flor miller in Yorkshire West Riding,75190
Female scholar factory half time in Yorkshire West Riding,99990
Male wesleyan schoolmaster in Yorkshire West Riding,13110
Male retired land agent in Yorkshire West Riding,32090
Male farmer of acres of land in Yorkshire West Riding,61110
Male worsted manufacture in Yorkshire West Riding,75190
Male retired gardener in Yorkshire West Riding,62290
Male pot maker in steel wade in Yorkshire West Riding,89990
Male whip hawker in Yorkshire West Riding,45190
Female retired postboy mistress in Yorkshire West Riding,38110
Female incapable of working insane in Yorkshire West Riding,99999
Female cripple and from birth in Yorkshire West Riding,99999
Female farmer acres in Yorkshire West Riding,61110
Female worker crotchet smith in Yorkshire West Riding,83120
Female wool combing machine in Yorkshire West Riding,75190
Female scutcher silk in Yorkshire West Riding,75190
Female heald in Yorkshire West Riding,75190
Female milliners in Yorkshire West Riding,79430
Female retired milkseller in Yorkshire West Riding,45190
Female grocer draper postmaster in Yorkshire West Riding,45120
Female fundholde in Yorkshire West Riding,21020
Female transferer of prints at a pottery in Yorkshire West Riding,89110
Female plumber and painter employing man wife in Yorkshire West Riding,99999
Female shoe clogg maker masters wife in Yorkshire West Riding,99999
Female stone delivery wife in Yorkshire West Riding,99999
Female shoemaker widow in Yorkshire West Riding,81160
Male doctor and medicine in Yorkshire West Riding,6110
Male book keeper in sack manufacturing in Yorkshire West Riding,32010
Male former carrier in Yorkshire West Riding,98520
Male innkeeper commercial in Yorkshire West Riding,57110
Male railway stoker in Yorkshire West Riding,98290
Male boy warehouse filer in Yorkshire West Riding,39910
Male woollen porter in Yorkshire West Riding,97110
Male farmer acres land in Yorkshire West Riding,61110
Male farmer of acres in Yorkshire West Riding,61110
Male farmer of acres employing labourer and in Yorkshire West Riding,61110
Male farmer of acres employing labourer boys in Yorkshire West Riding,61110
Male farmer of acres employing men in Yorkshire West Riding,61110
Male joiner of acres in Yorkshire West Riding,61110
Male designer in Yorkshire West Riding,16190
Male card engine planner in Yorkshire West Riding,75190
Male steam iron bailer maker in Yorkshire West Riding,83110
Male silk manufacture in Yorkshire West Riding,75190
Male ironmonger wheelwright in Yorkshire West Riding,41190
Male apprentice to plumbing in Yorkshire West Riding,87110
Male road inspector in Yorkshire West Riding,2130
Male cooper oil mills in Yorkshire West Riding,77290
Male apprentice cotton warp dressing in Yorkshire West Riding,75190
Male overlooker in spinning worsted in Yorkshire West Riding,75010
Male apprentice wollen cloth weaver in Yorkshire West Riding,75120
Male formley wollen weaver in Yorkshire West Riding,75120
Male warehouse man in Yorkshire West Riding,39910
Male woollen overlooker in a miller in Yorkshire West Riding,75010
Male worsted factory line keeper in Yorkshire West Riding,75010
Male engine firer at a woollen factory in Yorkshire West Riding,84120
Male master ropemaker in Yorkshire West Riding,79520
Male tailor clothes dealer employing men in Yorkshire West Riding,79410
Male master boot maker employs man in Yorkshire West Riding,81160
Male blackberry brewer in Yorkshire West Riding,77310
Male flaxdresser foreman in Yorkshire West Riding,75190
Male agent in Yorkshire West Riding,32090
