occ1,hisco,lang,code1,code2,code3,code4,code5
Male market gardiner beer retailer in Bedfordshire,62290,en,786.0,,,,
Male assistant medical officer in Denbighshire,6110,en,190.0,,,,
Male farmer of acres employing labourer and in Worcestershire,61110,en,764.0,,,,
Male farm bailiff to rector in Somerset,62010,en,,,,,
Male ostler in Essex,55800,en,,,,,
Female upholsterer wife in Somerset,99999,en,1918.0,,,,
Female servant in Kent,95110,en,,,,,
Female pauper housekeeper in Worcestershire,54010,en,684.0,,,,
Male cook in Glamorganshire,53110,en,,,,,
Male dredger fisherman in Essex,64110,en,,,,,
Male farmer son in Kent,99999,en,1918.0,,,,
Female farm bailiff daughter in Berkshire,61310,en,,,,,
Female apprentice milliner in Shropshire,99600,en,,,,,
Male margarline traveller in Lancashire,43190,en,,,,,
Female dairy maid farm servant in Hampshire,62110,en,777.0,,,,
Male pork butcher employing men in Carnarvonshire,41130,en,,,,,
Male farmer acres bailiff farm in Cardiganshire,61110,en,764.0,,,,
Male blacksmith asst servant in Carnarvonshire,83100,en,1305.0,,,,
Female druggist wife in Wiltshire,99999,en,1918.0,,,,
Female railway pointmans wife in Warwickshire,99999,en,1918.0,,,,
Male labourer porter in Cambridgeshire,97110,en,,,,,
Female servant ladysmaid in London (Parts Of Middlesex,55200,en,700.0,,,,
Male railway engine driver in Shropshire,98310,en,,,,,
Female farmer of acres lime burner wife in Northamptonshire,55990,en,,,,,
Male com clerk indian manchester office in Lancashire,39100,en,585.0,,,,
Male labourer at coal works in Derbyshire,71110,en,853.0,,,,
Male bookmaker and inn carer in Essex,45140,en,651.0,,,,
Male callenderman in Cheshire,99999,en,1918.0,,,,
Male clergyman not care of souls in Somerset,14110,en,,,,,
Male shop errand in London,45110,en,,,,,
Female wrapper up hosiery warehouse in Leicestershire,39910,en,,,,,
Male farm bailiffe acres employ men in Cheshire,61310,en,,,,,
Female singer in Lancashire,17200,en,382.0,,,,
Female seamstress in Staffordshire,79420,en,1211.0,,,,
Male miller and corn dealer in Warwickshire,77110,en,,,,,
Male duller for machine in Lancashire,84190,en,1378.0,,,,
Male apprentice fathers in Durham,99990,en,,,,,
Male retired tallow chandler in Dorset,99800,en,,,,,
Male cutter down sheet iron mill in Warwickshire,83190,en,1310.0,,,,
Male boot maker employing men woman in Cambridgeshire,81160,en,,,,,
Male master linen and woollen draper in Cardiganshire,45130,en,650.0,,,,
Male engine maker in Lincolnshire,84110,en,1362.0,,,,
Female housewoman and blacksmith wife in Sussex,99999,en,1918.0,,,,
Male brick maker in Monmouthshire,93590,en,,,,,
Male boy farm of acres employing labourer and in Kent,61110,en,764.0,,,,
Male farmer of acres employing labourer boys in Yorkshire West Riding,61110,en,764.0,,,,
Male cleaner in Lancashire,95990,en,1796.0,,,,
Male police in Staffordshire,58110,en,727.0,,,,
Male coachman and domestic servant in Cheshire,98540,en,1898.0,,,,
Female decorater in London,93110,en,,,,,
Male boy warehouse filer in Yorkshire West Riding,39910,en,,,,,
Male police constable in London,58110,en,727.0,,,,
Male apprentice iron founders pattern making in Yorkshire West Riding,83110,en,1306.0,,,,
Male civil servant h m geological society in Surrey,32010,en,,,,,
Male boy farmer of acres employing man and in Oxfordshire,61110,en,764.0,,,,
Female servant in Lancashire,95110,en,,,,,
Male employed cottager of acres land man in Lincolnshire,61110,en,764.0,,,,
Male clergyman not care of souls in Somerset,14110,en,,,,,
Male labourer chemical works in Lancashire,79990,en,1238.0,,,,
Female farm laborer wife in Devon,99999,en,1918.0,,,,
Female farmer daughter in Cumberland,99999,en,1918.0,,,,
Male farmer acres employs men boys in Lincolnshire,61110,en,764.0,,,,
Male draper in Herefordshire,41120,en,,,,,
Male travelling steam thresher agricultural labourer in Northumberland,62100,en,775.0,,,,
Male inspector of railway in London,24210,en,,,,,
Female of photographer artist wife in Gloucestershire,99999,en,1918.0,,,,
Male formerly tilemaker in Kent (Extra London),86200,en,1471.0,,,,
Female shop keeper draper grocer in Cardiganshire,45110,en,,,,,
Male unemployed tender moulder in Staffordshire,99700,en,,,,,
Female of gentleman wife in Lancashire,99999,en,1918.0,,,,
Male carpenter and sexton in Middlesex,81210,en,1272.0,,,,
Male servant in Staffordshire,95110,en,,,,,
Female army cap maker accoutrement in London (Parts Of Middlesex,79200,en,1198.0,,,,
Male civil servant nd div war office in London,32010,en,,,,,
Female occupying house maid in Cornwall,95110,en,,,,,
Male superintendent suffolk county police in Suffolk,58010,en,,,,,
Male sail maker in Worcestershire,79520,en,1222.0,,,,
Male journeyman tinman brazier in Norfolk,83210,en,1312.0,,,,
Male pensioner shipwright in Kent,99999,en,1918.0,,,,
Male tea sampler in London (Parts Of Middlesex,41200,en,,,,,
Male cotton loom jobber son in Lancashire,75120,en,1011.0,,,,
Male carpenter employing man boys in Nottinghamshire,81100,en,1266.0,,,,
Female attends sunday school in Warwickshire,99990,en,,,,,
Male apprentice watch maker in Lancashire,84140,en,1368.0,,,,
Male vicar of llanfair ce ba in Montgomeryshire,14100,en,326.0,,,,
Male inland revenue officer nd class in Hampshire,32010,en,,,,,
Female farm servant domestic agricultural labourer in Gloucestershire,62100,en,775.0,,,,
Female retired grocer in Middlesex (Extra London),99800,en,,,,,
Male cycle wheelwright turner in Worcestershire,84250,en,1387.0,,,,
Male tube finisher in Staffordshire,73500,en,,,,,
Female assistant in ref house eating in Gloucestershire,53300,en,,,,,
Female pork butcher in Lincolnshire,78210,en,,,,,
Male lime burner in Essex,79990,en,1238.0,,,,
Male proprietor of houses in Wiltshire,21020,en,,,,,
Male apprentice cotton warp dressing in Yorkshire West Riding,75190,en,1019.0,,,,
Male commercial clerk at company in London,32010,en,,,,,
Male leather in Lancashire,76100,en,1087.0,,,,
Male clerk paper mills in Westmorland,32010,en,,,,,
Female supervisors wife in Cardiganshire,55990,en,,,,,
Female coachmaker smiths small shop wife in Hampshire,99999,en,1918.0,,,,
Male meat butcher in Yorkshire East Riding,78210,en,,,,,
Female house servant upper nurse in London,7210,en,226.0,,,,
Male boy furniture dealer keeps in Nottinghamshire,45300,en,,,,,
Female of a duke daughter in London,99999,en,1918.0,,,,
Male nurseryman employing g spen in Middlesex,62290,en,786.0,,,,
Male boy coal dealer in Sussex,45190,en,653.0,,,,
Female house servant in Northumberland,95110,en,,,,,
Male assisting engr worker store in Northumberland,84120,en,1364.0,,,,
Male butcher iron keeper in Shropshire,78210,en,,,,,
Male engine driver locomotive railway in Hampshire,98310,en,,,,,
Male assistant coal in Hampshire,41200,en,,,,,
Male agent to building society in Monmouthshire,32090,en,,,,,
"Female musician in London (Parts Of Middlesex,",17210,en,,,,,
Male coal miner wife in Brecknockshire,99999,en,1918.0,,,,
Female weaver woolen cloth in Lancashire,75120,en,1011.0,,,,
Male tinker in Buckinghamshire,83210,en,1312.0,,,,
Female seaman daughter in Durham,99999,en,1918.0,,,,
Male tanner foreman in Cumberland,76100,en,1087.0,,,,
Female manageress of girls home in Hampshire,20100,en,451.0,,,,
Male thread glaze maker in Nottinghamshire,75190,en,1019.0,,,,
Male farmer employing acres in Bedfordshire,61110,en,764.0,,,,
Male apprentice to watch makers finisher in London,84140,en,1368.0,,,,
Male general labourer gas tarring in Worcestershire,96210,en,,,,,
Male farmer acres men in Norfolk,61110,en,764.0,,,,
Female sewer at cotton works in Lancashire,79420,en,1211.0,,,,
Male brass manufacture in London,83290,en,1317.0,,,,
Female woolen piecer in Lancashire,75190,en,1019.0,,,,
Male master plasterer in Yorkshire West Riding,93210,en,,,,,
Female domestic servant wife in Hampshire,55990,en,,,,,
Female hubber in a cotton factory in Lancashire,75190,en,1019.0,,,,
Male infirm in Norfolk,99999,en,1918.0,,,,
"Female stationer fancy dealer in London (Parts Of Middlesex,",45190,en,653.0,,,,
Female massuse in London,7290,en,,,,,
Female machinist in London,84190,en,1378.0,,,,
Male skinner in London,81290,en,1282.0,,,,
Male retired iron miner in Nottinghamshire,99800,en,,,,,
Male author in Surrey (Extra London),15110,en,,,,,
Female domestic servant in Middlesex (Extra London),55900,en,,,,,
Male woollen porter in Yorkshire West Riding,97110,en,,,,,
Female miller carters wife in Norfolk,99999,en,1918.0,,,,
Female centre for alic cotton cottons in Lancashire,75300,en,1026.0,,,,
Female boot spinner in Lancashire,75110,en,,,,,
Male keepman in Durham,58190,en,,,,,
Female iron monger painter wife in Monmouthshire,99999,en,1918.0,,,,
Male pensioner out of greenwich in Devon,99999,en,1918.0,,,,
Male tutor in Monmouthshire,13110,en,,,,,
Male twister at cotton miller in Cheshire,75190,en,1019.0,,,,
Female servant on farmer in Norfolk,95110,en,,,,,
Male agricultural labourer in Shropshire,62110,en,777.0,,,,
Male warehouseman in glass manufacturing in Lancashire,39910,en,,,,,
Male corporal in Devon,1210,en,10.0,,,,
Male farmer rel officer reg of b d in Carnarvonshire,61110,en,764.0,,,,
Male labourer son in Middlesex,99999,en,1918.0,,,,
Female to munsh maker wife in Yorkshire East Riding,99999,en,1918.0,,,,
Male apprentice carpenter and painter in Kent,81210,en,1272.0,,,,
Male shoe maker in Sussex,81160,en,,,,,
Male callenderman in Cheshire,75190,en,1019.0,,,,
Male butter factor farmer of acres employing m in Devon,61110,en,764.0,,,,
Female draper in Cornwall,45130,en,650.0,,,,
Female parish officer daughter in Carnarvonshire,99999,en,1918.0,,,,
Female ministers daughter in Devon,99999,en,1918.0,,,,
Male house agent in Staffordshire,45400,en,,,,,
Male coal dealer in Gloucestershire,45190,en,653.0,,,,
Male general dealer beer retailer in Hampshire,41200,en,,,,,
Male estate laborer farm in Northamptonshire,62100,en,775.0,,,,
Male joiner and grocer in Northumberland,81220,en,1273.0,,,,
Male retired mariner captain m navy in Hampshire,99800,en,,,,,
Male youth boy tea dealer employing a and a in Derbyshire,41200,en,,,,,
Male watch maker in London,84140,en,1368.0,,,,
Unknown journeyman miller in Lincolnshire,77110,en,,,,,
Male farmer acres land in Yorkshire West Riding,61110,en,764.0,,,,
Male sail maker in Worcestershire,79520,en,1222.0,,,,
Female housekeeper in Yorkshire West Riding,54010,en,684.0,,,,
Female machinist father in Lancashire,79300,en,1205.0,,,,
Male bailiff in Leicestershire,61310,en,,,,,
Male husbandsman in Cumberland,62100,en,775.0,,,,
Female leather bag maker draper in London (Parts Of Middlesex,76300,en,,,,,
"Male police inspector supernumerary in London (Parts Of Middlesex,",58110,en,727.0,,,,
Male shirtmaker in Middlesex,79420,en,1211.0,,,,
Male master batcher employing hands in Surrey,78210,en,,,,,
Male formerly glass maker in Gloucestershire,89290,en,1562.0,,,,
Female buttoner in Staffordshire,79300,en,1205.0,,,,
Male farmer of acres employing man in Brecknockshire,61110,en,764.0,,,,
Male undergraduate of the university of london in London (Parts Of Middlesex,99999,en,1918.0,,,,
Male draugtsman in Lancashire,16190,en,357.0,,,,
Male bonnet maker in Hertfordshire,81390,en,,,,,
Male civil service examining officer customs in London,32010,en,,,,,
Male printer book binder in Staffordshire,92110,en,1623.0,,,,
Male retired musician in London (Parts Of Middlesex,99800,en,,,,,
Male apprentice to chemist d in Lancashire,99600,en,,,,,
Male master railway stoker in Wiltshire,98290,en,1882.0,,,,
Male pauper formerly fisherman in Lancashire,64110,en,,,,,
Male apprentice boy in Dorset,99600,en,,,,,
Female woolen cloth linter in Gloucestershire,75190,en,1019.0,,,,
Male girl farmer of acres employing servant boys in Pembrokeshire,61110,en,764.0,,,,
Male farmer acres labourer in Cornwall,61110,en,764.0,,,,
Male coal lime iron works manager in Derbyshire,21110,en,457.0,,,,
Female mangler in Monmouthshire,55600,en,,,,,
Male pensioner labourer and chelsea in Sussex,99999,en,1918.0,,,,
Male city accountant leeds in Yorkshire West Riding,3110,en,96.0,,,,
Female housekeeper domestic servant in Hampshire,54010,en,684.0,,,,
Female copper miner wife in Merionethshire,99999,en,1918.0,,,,
Female earthenware manufacture wife in Lancashire,55990,en,,,,,
Female assist to a linen draper in Norfolk,45130,en,650.0,,,,
Male carpet weaver servant in Worcestershire,75120,en,1011.0,,,,
Female rendars wife in Essex,99999,en,1918.0,,,,
Female caretaker of house in Middlesex (Extra London),55500,en,,,,,
Male retired postboy office messenger in Warwickshire,97110,en,,,,,
Male turner carrier in Devon,82110,en,,,,,
Male farmer of emp labourer boys in Yorkshire East Riding,61110,en,764.0,,,,
Female cook professed in Oxfordshire,53110,en,,,,,
Female blacksmith wife in Kent,99999,en,1918.0,,,,
Male clerk at tobacco manufactory in Lancashire,39100,en,585.0,,,,
Male master plumber decorator in Kent (Extra London),87100,en,1477.0,,,,
Male caretaker girls high school in Nottinghamshire,58190,en,,,,,
Male shoe maker in Sussex,81160,en,,,,,
Male machinist iron driller in Lancashire,84190,en,1378.0,,,,
Female farm worker in Westmorland,62110,en,777.0,,,,
Male poultorer in Essex,62190,en,,,,,
Female locomotive engine drivers wife in Cheshire,99999,en,1918.0,,,,
Female farm servant in Hertfordshire,62100,en,775.0,,,,
Male asylum attendant instit domestic servant in Lancashire,55900,en,,,,,
Male labourer carter out of employ in Lancashire,99700,en,,,,,
Female brading nets in Dorset,79520,en,1222.0,,,,
Male labourer son in Lincolnshire,99900,en,1914.0,,,,
Female domestic servant not in employ in Cardiganshire,55900,en,,,,,
Female domestic brewers wife in Buckinghamshire,99999,en,1918.0,,,,
Female hand wife in Leicestershire,99999,en,1918.0,,,,
Male stable lad in Berkshire,62320,en,788.0,,,,
Female cabinet maker wife in London (Parts Of Middlesex,55990,en,,,,,
Male farmer acres man boys in Cambridgeshire,61110,en,764.0,,,,
Male dentist in Hampshire,6120,en,191.0,,,,
Male laborer in cake oil mills in Norfolk,77500,en,1132.0,,,,
Male spoon forger in Warwickshire,83190,en,1310.0,,,,
Male marine store in Buckinghamshire,45190,en,653.0,,,,
Female of organ builders and tuner wife in Essex,99999,en,1918.0,,,,
Female blacksmith daughter in Montgomeryshire,83120,en,1307.0,,,,
Female cordwainer daughter of in Cambridgeshire,81160,en,,,,,
Male schoolmaster wes local preacher in London (Parts Of Middlesex,13100,en,283.0,,,,
Female cashier at liptons in London,32010,en,,,,,
Female minder in flor miller in Yorkshire West Riding,75190,en,1019.0,,,,
Male master plumber employing plumbers plumber labs in Leicestershire,87100,en,1477.0,,,,
Male retired civil engineer in Buckinghamshire,99800,en,,,,,
Female lead miner in Leicestershire,71190,en,861.0,,,,
Male apprentice plasterer in Kent,93210,en,,,,,
Male master of a vessel in Kent,98110,en,,,,,
Male labourer in gardens n d in Bedfordshire,99900,en,1914.0,,,,
Male doctor and medicine in Yorkshire West Riding,6110,en,190.0,,,,
Male captain r n retired in London (Parts Of Middlesex,99800,en,,,,,
Female unable to work has parish pay in Gloucestershire,99999,en,1918.0,,,,
Male clothiers porter in Norfolk,97110,en,,,,,
Male doctor of medicine general practitioner in Warwickshire,6110,en,190.0,,,,
Male farmer in Monmouthshire,61110,en,764.0,,,,
Male machinist in Berkshire,84190,en,1378.0,,,,
Male ostler in Essex,62320,en,788.0,,,,
Male retired tailor in Cambridgeshire,99800,en,,,,,
Female retired postboy mistress in Yorkshire West Riding,38110,en,,,,,
Male flour dealer in Cambridgeshire,45190,en,653.0,,,,
Female kitchen woman in Middlesex,53110,en,,,,,
"Male matchmaker bryant m fusee in London (Parts Of Middlesex,",79990,en,1238.0,,,,
Male rope maker royal navy in Hampshire,79520,en,1222.0,,,,
Female carrier daughter in Yorkshire West Riding,99999,en,1918.0,,,,
Female of the above pair daughter in Lincolnshire,99999,en,1918.0,,,,
Female pillo in Lancashire,99999,en,1918.0,,,,
Male retired gamekeeper in Gloucestershire,58140,en,730.0,,,,
Female woollen drapers daughter in Gloucestershire,99999,en,1918.0,,,,
Female domestic servant in Carnarvonshire,55900,en,,,,,
Female in pottery in Glamorganshire,89110,en,,,,,
Male butcher arms in Leicestershire,78210,en,,,,,
Female hoze maker in rubber works in Lancashire,79990,en,1238.0,,,,
Male apprentice to tea trade in Lancashire,99600,en,,,,,
Female servant for family in Hampshire,95110,en,,,,,
Male agricultural labourer in Merionethshire,62100,en,775.0,,,,
Female formerly a domestic servant in Shropshire,95110,en,,,,,
Male retired painter glazier in Dorset,99999,en,1918.0,,,,
Male boy machinist messenger in London (Parts Of Middlesex,99999,en,1918.0,,,,
Male officer in Lancashire,32090,en,,,,,
Female servant of mede clerk in Hampshire,99999,en,1918.0,,,,
Female magistrate in Gloucestershire,2110,en,,,,,
Male coachmaker carrier maker in London,84230,en,1383.0,,,,
Female grocer hosiery framework knitter daughter in Nottinghamshire,41110,en,,,,,
Female messenger wife in Sussex,99999,en,1918.0,,,,
Male engine driver on mcry in Cumberland,98310,en,,,,,
Female late dairy woman in Somerset,62400,en,793.0,,,,
Female huckster widow in Nottinghamshire,45190,en,653.0,,,,
Male labourer gardener in Shropshire,62290,en,786.0,,,,
Female vegetable maid in Leicestershire,53100,en,670.0,,,,
Female ag labs wife in Gloucestershire,55990,en,,,,,
Female coal labourer wife in Huntingdonshire,99999,en,1918.0,,,,
Male carting agent in Lancashire,98520,en,1896.0,,,,
Male furnaceman in tinman works pw in Carmarthenshire,73100,en,941.0,,,,
Male east india company steward in Hampshire,32090,en,,,,,
Female mangler in Shropshire,95990,en,1796.0,,,,
Male waterman on steam boatman in Northumberland,98110,en,,,,,
Female assistant porter office in Cheshire,97110,en,,,,,
Female stock exchange in Cheshire,32090,en,,,,,
Male farmer of acres employing labourer in Sussex,61110,en,764.0,,,,
Female agl labr housekeeper in Bedfordshire,55100,en,694.0,,,,
Male cordwainer servant in Yorkshire West Riding,81160,en,,,,,
Female assist to a linen draper in Norfolk,41120,en,,,,,
Female bill poster in Lancashire,97190,en,1830.0,,,,
Male apprentice shoe maker in Lincolnshire,81160,en,,,,,
Male librarian in Islands In The British Seas,32090,en,,,,,
Male gardener employing man in Leicestershire,62290,en,786.0,,,,
Female assistant in inn bar public house in London,53290,en,682.0,,,,
Male gardener in Hampshire,62200,en,779.0,,,,
Male engine firer at a woollen factory in Yorkshire West Riding,84120,en,1364.0,,,,
Male builders stock keeper in London,39910,en,,,,,
Male apprentice to cap making in Lancashire,81390,en,,,,,
Male dressmaker in Buckinghamshire,79410,en,,,,,
Male vicar of tonge cum brightmead in Lancashire,14100,en,326.0,,,,
Male farrier horse shoer in Lancashire,83100,en,1305.0,,,,
Male chemical labourer in Staffordshire,79990,en,1238.0,,,,
Female brush maker in Staffordshire,89100,en,1530.0,,,,
Male messenger in Durham,97110,en,,,,,
Female politioner in London,99999,en,1918.0,,,,
Female college servant in Cambridgeshire,95110,en,,,,,
Male dock labourer in London (Parts Of Middlesex,98600,en,1904.0,,,,
Female of indian judge annuitant widow in Devon,99999,en,1918.0,,,,
Male machine maker in Lincolnshire,84400,en,1394.0,,,,
Male retired farm bailiff in Monmouthshire,62010,en,,,,,
Male boot shoe maker inspector of weights measur in Kent,81160,en,,,,,
Female retired manufacturer in Montgomeryshire,21110,en,457.0,,,,
Male postman in Somerset,39300,en,595.0,,,,
Male tobacconist collector in London,45190,en,653.0,,,,
Male draper in Lancashire,45130,en,650.0,,,,
Male pauper in Derbyshire,99999,en,1918.0,,,,
Female proprietor of land in Norfolk,21020,en,,,,,
Male labourer and shop keeper in Gloucestershire,96210,en,,,,,
Male apprentice coachmaker body maker in Yorkshire East Riding,84230,en,1383.0,,,,
Male printing machine minder in Staffordshire,92100,en,1622.0,,,,
Male boy shepherd in Wiltshire,62240,en,783.0,,,,
Male grocer in Derbyshire,45120,en,648.0,,,,
Female charity parish allowance in Essex,99999,en,1918.0,,,,
Male husbandry servant in Warwickshire,62110,en,777.0,,,,
Male chain maker beer house keeper in Glamorganshire,83190,en,1310.0,,,,
Female organist music teacher in London,17210,en,,,,,
Male stockwright in Lancashire,99999,en,1918.0,,,,
Male labourer in ry works in Cheshire,99900,en,1914.0,,,,
Female sewer in Cumberland,79300,en,1205.0,,,,
Male landagent in Lancashire,32090,en,,,,,
Male apprentice to blacksmith boot in Devon,99600,en,,,,,
Female farmer of acres widow in Brecknockshire,61110,en,764.0,,,,
Female corn dealer wife in Bedfordshire,55990,en,,,,,
Male quarreyman in Northumberland,71200,en,862.0,,,,
Female fancy repository keeper fgi in Hampshire,99999,en,1918.0,,,,
Male railway stoker in Yorkshire West Riding,98290,en,1882.0,,,,
Female domestic servant in Yorkshire West Riding,95110,en,,,,,
Male assistant undretakers in Hampshire,58190,en,,,,,
Female annuitant fundholder in London,21020,en,,,,,
Male shipwright in Cumberland,84310,en,,,,,
Female nurse and housemaid in Durham,7210,en,226.0,,,,
Male boy farmer acres laborers in Staffordshire,61110,en,764.0,,,,
Male card engine planner in Yorkshire West Riding,75190,en,1019.0,,,,
Male apprentice to agricultural machine in Suffolk,84190,en,1378.0,,,,
Male landholder in Wiltshire,21020,en,,,,,
Male berks in Berkshire,99999,en,1918.0,,,,
Male overlooker at pottery in Staffordshire,89010,en,,,,,
Male farm bailiff of acres in Cheshire,62010,en,,,,,
Male secretary of the royal station consular agency in Cornwall,32010,en,,,,,
Female formerly farmer servant in Anglesey,62110,en,777.0,,,,
Female filling in Glamorganshire,99999,en,1918.0,,,,
Male book binder in London (Parts Of Middlesex,92200,en,1632.0,,,,
Male woodyard labourer in Durham,99900,en,1914.0,,,,
Male apprentice to plumbing in Yorkshire West Riding,87110,en,1479.0,,,,
Female innkeeper in Cornwall,57110,en,,,,,
Female wife pauper in Northumberland,99999,en,1918.0,,,,
Female domestic servant in Herefordshire,55900,en,,,,,
Male boy farmer acres employing men in Anglesey,61110,en,764.0,,,,
Male apprentice factor in Yorkshire West Riding,99990,en,,,,,
Male carpenter out of employment in Gloucestershire,81100,en,1266.0,,,,
Male commercial traveller in London,43190,en,,,,,
Male bailiff foreman on a farm in Lincolnshire,62010,en,,,,,
Female clerk s bank in Surrey,32010,en,,,,,
Male apprentice joiner in Yorkshire North Riding,81220,en,1273.0,,,,
Male clerk in shipwright broker office in Lancashire,32010,en,,,,,
Male retired licensed victualler in Kent (Extra London),57110,en,,,,,
Male surveyor in Lincolnshire,2130,en,32.0,,,,
Male assistant gunsmith maker in Sussex,84190,en,1378.0,,,,
Female house painter wife in Northamptonshire,55990,en,,,,,
Female apprentice milliner in London (Parts Of Middlesex,99600,en,,,,,
Female fancy envelope folder in London,79990,en,1238.0,,,,
Male bailiff farm acres employing men in Carnarvonshire,62010,en,,,,,
Male farm yard man in Middlesex,62110,en,777.0,,,,
Male road contractor employing men and boys in Gloucestershire,93990,en,1693.0,,,,
Male apprentice fishmonger in London,78110,en,,,,,
Male postboy friner in Lancashire,38110,en,,,,,
Male windsor chair maker in Lancashire,81300,en,,,,,
Male ships stewd asst in Hampshire,98110,en,,,,,
Male agency clerk in Kent (Extra London),39100,en,585.0,,,,
Male watch maker in London,84140,en,1368.0,,,,
Female servant daughter in Denbighshire,99999,en,1918.0,,,,
Male cartridge maker in r arsenal in London (Parts Of Middlesex,78600,en,,,,,
Male brass founder toll collector in Staffordshire,83290,en,1317.0,,,,
Female hand factor in Hampshire,99999,en,1918.0,,,,
Female proprietor of houses granddaughter in Glamorganshire,99999,en,1918.0,,,,
Male private means in Essex,21020,en,,,,,
Female tailor in Cornwall,79410,en,,,,,
Female labs domestic domestic servant daughter in Devon,55900,en,,,,,
Male colour sergeant miller in Kent (Extra London),77400,en,1123.0,,,,
Female retired overlooker in Lancashire,75010,en,,,,,
Male various investments in Kent (Extra London),99999,en,1918.0,,,,
Female retired elementary teacher in Somerset,13110,en,,,,,
Male s in Lancashire,99999,en,1918.0,,,,
Male apprentice engin works in Northumberland,84120,en,1364.0,,,,
Female carpenter in London,81210,en,1272.0,,,,
Male fitterironworks in Gloucestershire,84100,en,1360.0,,,,
Male soldier shoemaker in Surrey,1210,en,10.0,,,,
Male civil service regents pk constable in London (Parts Of Middlesex,58100,en,726.0,,,,
Male agricultural labourer in Cheshire,62100,en,775.0,,,,
Male journeyman agricultural labourer in Yorkshire West Riding,62110,en,777.0,,,,
Male groom in Berkshire,55800,en,,,,,
Male clog maker wooden shoe in Cardiganshire,80100,en,1240.0,,,,
Male locomotive engineer cleaner or in Staffordshire,98310,en,,,,,
Female visiting in Kent,95110,en,,,,,
Female formerly miller wife in Northamptonshire,55990,en,,,,,
Male farmer of acres employing one out door agricultural labourer in Yorkshire West Riding,61110,en,764.0,,,,
Male no profession as of all in Devon,99999,en,1918.0,,,,
Female apprentice in Lancashire,99600,en,,,,,
Male packer at bleachworks cotton in Lancashire,75300,en,1026.0,,,,
Male author in Buckinghamshire,15110,en,,,,,
Male draftsman surveyor os office in Hampshire,310,en,,,,,
Male apprentice drapers assistants in Lancashire,45130,en,650.0,,,,
Male engine stoker at a slate quarry in Carnarvonshire,99999,en,1918.0,,,,
Male hand factory cotton in Derbyshire,75300,en,1026.0,,,,
Male fruiterer in Glamorganshire,41140,en,,,,,
Male farm servant in Devon,62110,en,777.0,,,,
Male coalminer pony driver underground in Durham,71110,en,853.0,,,,
Female servant domestic in Suffolk,95110,en,,,,,
Male hawkers a c c in Essex,43200,en,631.0,,,,
Male steam iron bailer maker in Yorkshire West Riding,83110,en,1306.0,,,,
Male piece hanger printer works in Lancashire,92110,en,1623.0,,,,
Male blackberry brewer in Yorkshire West Riding,77310,en,1118.0,,,,
Female card house miller in Lancashire,75190,en,1019.0,,,,
Male striker in iron foundry in Gloucestershire,73200,en,945.0,,,,
Female essex in Middlesex,99999,en,1918.0,,,,
Male copper agent in Middlesex (Extra London),41200,en,,,,,
Male outdoor beerhouse keeper in Lancashire,53200,en,676.0,,,,
Male machine maker in Warwickshire,84190,en,1378.0,,,,
Male upholsterer employing men boys women in Cheshire,82190,en,,,,,
Female paperhanger wife in Lincolnshire,55990,en,,,,,
Female schoolmaster in London (Parts Of Middlesex,13100,en,283.0,,,,
Female retired fur muff stuffer in London,81390,en,,,,,
Male night watch in Derbyshire,58110,en,727.0,,,,
Male engineers servant in British Ships In Home Ports,95110,en,,,,,
Female paper maker in London,79990,en,1238.0,,,,
Male box maker in Middlesex,82290,en,,,,,
Female assistant teacher upper elementary mixed in Lancashire,13110,en,,,,,
Male boy farmer acres employing man in Lancashire,61110,en,764.0,,,,
Female embroiderer in Somerset,79420,en,1211.0,,,,
Male yeoman modeller in Bedfordshire,85990,en,1465.0,,,,
Male brokers clerk in Norfolk,32010,en,,,,,
Female boot maker westeyan local maker daughter in Worcestershire,99999,en,1918.0,,,,
Male chaffeur motor in London,98510,en,,,,,
Female police daughter in Gloucestershire,99999,en,1918.0,,,,
Male domestic servant son in Devon,55900,en,,,,,
Female scholors in Lancashire,99999,en,1918.0,,,,
Female retired overlooker in Lancashire,99800,en,,,,,
Male assistant coal dealer in Hampshire,41200,en,,,,,
Male retired staff vety surgeon list madras army in London (Parts Of Middlesex,99800,en,,,,,
Male farmer domestic servant indoor in Brecknockshire,61190,en,,,,,
Male rector of medicine in Northamptonshire,6110,en,190.0,,,,
Male inn dresser in Monmouthshire,99999,en,1918.0,,,,
Male blacksmith farmer of acres in Derbyshire,83100,en,1305.0,,,,
Female vocalist musician in Lancashire,17200,en,382.0,,,,
Male carrier and broom maker in Sussex,98520,en,1896.0,,,,
Male apprentice butcher in Nottinghamshire,99600,en,,,,,
Male farmer of acres in Yorkshire West Riding,61110,en,764.0,,,,
Male formerly aman worker in Sussex,96210,en,,,,,
Female ministers wife in Montgomeryshire,14110,en,,,,,
Female late lodging house keeper in Cambridgeshire,57190,en,,,,,
Male servant in Lincolnshire,55900,en,,,,,
Female grazier in London (Parts Of Middlesex,61220,en,766.0,,,,
Female needlewoman in Derbyshire,79300,en,1205.0,,,,
Male brakes in Lancashire,99999,en,1918.0,,,,
Male assists his father in Yorkshire East Riding,99999,en,1918.0,,,,
Male miller emp men boys in Lancashire,77400,en,1123.0,,,,
Male farm laborer son in Hampshire,99999,en,1918.0,,,,
Male manufacturer in Nottinghamshire,21110,en,457.0,,,,
